key_mlbam,key_retro,key_fangraphs,name_last,name_first
114369,foytp101,1004287,Foytack,Paul
112157,cepeo101,1002103,Cepeda,Orlando
112365,clarb103,1002267,Clarke,William
621242,diaze006,14710,Díaz,Edwin
400268,boscj001,2324,Boscán,J. C.
120053,orouf101,1009838,O'Rourke,Frank
670032,lopen001,19339,Lopez,Nicky
122587,spenv101,1012332,Spencer,Vern
820032,coleg102,-1,Coleman,Gilbert
816468,,-1,Wright,
110274,andrw102,1000262,Andrews,Wally
114017,farrs001,1003953,Farr,Steve
119411,morrm101,1009221,Morrison,Mike
115124,greme101,1005028,Gremminger,Ed
120958,rayff001,1010724,Rayford,Floyd
622270,mejia002,13877,Mejia,Alex
113674,dwyej102,1003609,Dwyer,John
118750,mcilv101,1008566,McIlree,Vance
115912,higgb102,1005787,Higgins,Bob
117534,lattb101,1007378,Lattimore,Bill
820005,concr101,-1,Concepción,Rafael
113220,delaj103,1003157,Delahanty,Jim
644428,scrit001,15570,Scribner,Troy
115312,haige101,1005207,Haigh,Ed
120361,pelle101,1010133,Pellagrini,Eddie
819240,hacks102,-1,Hackett,Speedball
664040,loweb001,18882,Lowe,Brandon
121935,scotj103,1011685,Scott,John
121080,rescx101,1010843,Rescigno,Xavier
124590,wriga102,1014269,Wright,Al
121840,schmc101,1011578,Schmit,Crazy
518883,kiekd001,10529,Kiekhefer,Dean
124005,weavj102,1013700,Weaver,Jim
122003,sents101,1011748,Senteney,Steve
114004,fanwh101,1003927,Fanwell,Harry
596001,junij001,13619,Junis,Jakob
593576,nerih001,11804,Neris,Héctor
-1,mcavg901,-1,McAvoy,Gary
110726,beama101,1000707,Beam,Alex
467092,ramow001,1433,Ramos,Wilson
457456,reyej003,5559,Reyes,Jo-Jo
657248,ottog001,21366,Otto,Glenn
115333,halie101,1005228,Halicki,Ed
457574,pachj001,2677,Pacheco,Jordan
819687,duncj102,-1,Duncan,Joe
543744,satij001,6788,Satin,Josh
124755,zeilt001,457,Zeile,Todd
121820,schlb101,1011568,Schlitzer,Victor
502522,millj006,8580,Miller,Justin
445926,chavj001,5448,Chavez,Jesse
116199,howac001,1006072,Howard,Chris
112126,castr101,1002074,Castleton,Roy
112339,clarb002,1002269,Clark,Bobby
113285,derrp101,1003224,Derringer,Paul
451109,hayeb001,4293,Hayes,Brett
407870,pearj001,1175,Pearce,Josh
696100,goodh001,29715,Goodman,Hunter
117668,lemkm001,1007516,Lemke,Mark
819429,,-1,Gardner,
115545,harrr101,1005429,Harrison,Rit
118985,merum001,1008797,Merullo,Matt
117029,ketcf101,1006881,Ketchum,Fred
117368,kuror101,1007214,Kurosaki,Ryan
817020,taylb109,-1,Taylor,Bob
121522,rozed101,1011272,Rozek,Dick
112703,corrf101,1002640,Corridon,Frank
119800,nilat101,1009597,Niland,Tom
115663,heale101,1005547,Healy,Egyptian
112027,carrc106,1001985,Carr,Charlie
818445,longr102,-1,Longley,Red
120992,reedh101,1010767,Reid,Hugh
608337,gioll001,15474,Giolito,Lucas
122069,shaus101,1011812,Shaughnessy,Shag
658668,olive001,19698,Olivares,Edward
111408,brazf101,1001370,Brazill,Frank
-1,wilsf901,-1,Wilson,Frank
111470,brilf101,1001433,Brill,Frank
113420,dohee101,1003356,Doheny,Ed
446973,hernr801,-1,Hernandez,Rudy
110875,benns001,1000847,Bennett,Shayne
114717,gerkg101,1004633,Gerken,George
683227,freec003,-1,Freeman,Cody
112994,dailj101,1002929,Dailey,John
641796,locat001,15124,Locastro,Tim
406723,barka001,1000544,Barkett,Andy
819325,gords102,-1,Gordon,Sam
519455,zimmj003,4505,Zimmermann,Jordan
121675,sandr101,1011421,Sanders,Roy
676886,beasj001,20205,Beasley,Jeremy
111967,cantt101,1001923,Cantwell,Tom
119141,millj107,1008958,Mills,Jack
695670,fordh001,-1,Ford,Harry
117415,lakee101,1007260,Lake,Eddie
613317,birdk001,16618,Bird,Kyle
819135,hartg104,-1,Hartman,Garrell
