year,base_state,outs,avg_re,count
2015,0,0,0.4737999346903233,45935
2015,0,1,0.25101105419250475,33381
2015,0,2,0.09853350658993874,26935
2015,1,0,0.8589079676569455,11007
2015,1,1,0.5036378953817875,13057
2015,1,2,0.22557234774801735,13366
2015,2,0,1.1091127098321343,3336
2015,2,1,0.6655512504402958,5678
2015,2,2,0.3016330451488953,7287
2015,3,0,1.4686064318529861,2612
2015,3,1,0.8951109196640104,4643
2015,3,2,0.42820158784949947,5794
2015,4,0,1.4138576779026217,534
2015,4,1,0.957983193277311,1904
2015,4,2,0.35983827493261455,2968
2015,5,0,1.7226277372262773,959
2015,5,1,1.1244218316373729,2162
2015,5,2,0.45536609829488467,2991
2015,6,0,2.0441176470588234,612
2015,6,1,1.3600837404047452,1433
2015,6,2,0.5587918015102481,1854
2015,7,0,2.2743988684582743,707
2015,7,1,1.5907093534212178,1593
2015,7,2,0.7856774858320453,1941
2016,0,0,0.5031565245688252,46095
2016,0,1,0.2709513108614232,33375
2016,0,2,0.10714285714285714,26796
2016,1,0,0.8654736467236467,11232
2016,1,1,0.5183998808104887,13424
2016,1,2,0.22145713016437138,13506
2016,2,0,1.1394009216589862,3472
2016,2,1,0.6744270643870498,5498
2016,2,2,0.3173955843060048,7111
2016,3,0,1.4512800917080626,2617
2016,3,1,0.926906779661017,4720
2016,3,2,0.42208800690250214,5795
2016,4,0,1.339080459770115,522
2016,4,1,0.9362041467304625,1881
2016,4,2,0.3729166666666667,2880
2016,5,0,1.7254509018036073,998
2016,5,1,1.1948717948717948,2145
2016,5,2,0.484375,2880
2016,6,0,1.9388646288209608,687
2016,6,1,1.3620582765034097,1613
2016,6,2,0.5516709511568123,1945
2016,7,0,2.0833333333333335,720
2016,7,1,1.539031339031339,1755
2016,7,2,0.7021696252465484,2028
2017,0,0,0.5214523593270187,46242
2017,0,1,0.2742783720791251,33466
2017,0,2,0.10909837902442668,26774
2017,0,3,0.0,1
2017,1,0,0.9162483487450462,11355
2017,1,1,0.5296156966880579,13557
2017,1,2,0.22881044984222498,13627
2017,2,0,1.1694468832309044,3417
2017,2,1,0.7224541659103285,5509
2017,2,2,0.33176771989752346,7026
2017,3,0,1.5144300144300145,2772
2017,3,1,0.9531601554510125,4889
2017,3,2,0.4509969584319027,5918
2017,4,0,1.4138655462184875,476
2017,4,1,0.9830124575311439,1766
2017,4,2,0.38177424922333447,2897
2017,5,0,1.8413361169102296,958
2017,5,1,1.21865889212828,2058
2017,5,2,0.5072157690953889,2841
2017,6,0,2.051282051282051,702
2017,6,1,1.4851359898798229,1581
2017,6,2,0.5849843587069864,1918
2017,7,0,2.246556473829201,726
2017,7,1,1.628393665158371,1768
2017,7,2,0.8084179970972424,2067
2018,0,0,0.49790097810092615,46212
2018,0,1,0.26886262924667653,33850
2018,0,2,0.09922613289679291,26878
2018,0,3,0.0,2
2018,1,0,0.8728644129407488,11004
2018,1,1,0.5329731330027385,13511
2018,1,2,0.22235970594657545,13739
2018,2,0,1.1349711859265998,3297
2018,2,1,0.685820895522388,5360
2018,2,2,0.32350049164208455,7119
2018,3,0,1.429903057419836,2682
2018,3,1,0.938844369464361,4742
2018,3,2,0.44562243502051985,5848
2018,4,0,1.4261603375527425,474
2018,4,1,1.00606394707828,1814
2018,4,2,0.3529197080291971,2740
2018,5,0,1.786610878661088,956
2018,5,1,1.2137899120777418,2161
2018,5,2,0.5013966480446927,2864
2018,6,0,1.937784522003035,659
2018,6,1,1.3665850673194615,1634
2018,6,2,0.5741127348643006,1916
2018,7,0,2.3494318181818183,704
2018,7,1,1.4728950403690888,1734
2018,7,2,0.7836734693877551,2205
2019,0,0,0.5390040515337949,46649
2019,0,1,0.292679364337462,34232
2019,0,2,0.11342313729784982,27393
2019,0,3,0.0,3
2019,1,0,0.9479553903345725,11029
2019,1,1,0.5653655284793719,13501
2019,1,2,0.24068850799161062,13827
2019,2,0,1.1695118298891884,3339
2019,2,1,0.7287696577243293,5405
2019,2,2,0.3364236550077258,7119
2019,3,0,1.545719489981785,2745
2019,3,1,0.9995785036880928,4745
2019,3,2,0.4646169701133631,5822
2019,4,0,1.4387527839643652,449
2019,4,1,1.0,1654
2019,4,2,0.3862708719851577,2695
2019,5,0,1.783295711060948,886
2019,5,1,1.2305461575640406,2069
2019,5,2,0.5477888730385164,2804
2019,6,0,2.0446043165467627,695
2019,6,1,1.4344313238036048,1609
2019,6,2,0.6095959595959596,1980
2019,7,0,2.308139534883721,688
2019,7,1,1.622093023255814,1720
2019,7,2,0.7762430939226519,2172
2020,0,0,0.5329378321591892,16182
2020,0,1,0.28611849438394926,11663
2020,0,2,0.10603020382300138,9469
2020,0,3,0.0,1
2020,1,0,0.9196450579245748,4057
2020,1,1,0.5579604578563996,4805
2020,1,2,0.24682395644283123,4959
2020,2,0,1.1140544518027962,1359
2020,2,1,0.7177848775292864,1878
2020,2,2,0.3358208955223881,2412
2020,3,0,1.6006006006006006,999
2020,3,1,0.9470655926352128,1738
2020,3,2,0.4701250578971746,2159
2020,4,0,1.4090909090909092,154
2020,4,1,0.9664429530201343,596
2020,4,2,0.40976645435244163,942
2020,5,0,1.5798319327731092,357
2020,5,1,1.3054054054054054,740
2020,5,2,0.5680076628352491,1044
2020,6,0,1.9634146341463414,246
2020,6,1,1.4878048780487805,574
2020,6,2,0.6011560693641619,692
2020,7,0,2.488817891373802,313
2020,7,1,1.6924198250728864,686
2020,7,2,0.7566938300349243,859
2021,0,0,0.5079679061187296,44993
2021,0,1,0.265814696485623,32865
2021,0,2,0.10134212920837124,26376
2021,0,3,0.0,2
2021,1,0,0.9184086932498389,10859
2021,1,1,0.5351155414589941,13242
2021,1,2,0.22713143872113678,13512
2021,2,0,1.1241415742208136,3786
2021,2,1,0.6892969764422185,5391
2021,2,2,0.32588320115356884,6935
2021,3,0,1.515,2800
2021,3,1,0.9212733921273392,4649
2021,3,2,0.44843831792008376,5731
2021,4,0,1.367965367965368,462
2021,4,1,0.9560240963855422,1660
2021,4,2,0.381451009723261,2674
2021,5,0,1.7338129496402879,973
2021,5,1,1.1219028741328048,2018
2021,5,2,0.4907209136331192,2802
2021,6,0,2.1246376811594203,690
2021,6,1,1.3982521847690388,1602
2021,6,2,0.5860979462875198,1899
2021,7,0,2.476552598225602,789
2021,7,1,1.6719457013574661,1768
2021,7,2,0.8249324932493249,2222
2022,0,0,0.4761273209549072,44486
2022,0,1,0.2545276554087127,32688
2022,0,2,0.09726825922962624,26247
2022,1,0,0.8713945740123751,10505
2022,1,1,0.5139912742590642,13294
2022,1,2,0.20979734655197552,13718
2022,2,0,1.0795763172189028,3682
2022,2,1,0.6776528862640503,5249
2022,2,2,0.31643330876934417,6785
2022,3,0,1.4420812761109,2633
2022,3,1,0.9154929577464789,4615
2022,3,2,0.4431558601300299,5691
2022,4,0,1.2706766917293233,399
2022,4,1,0.9701017811704835,1572
2022,4,2,0.3915615141955836,2536
2022,5,0,1.7492063492063492,945
2022,5,1,1.1627003399708595,2059
2022,5,2,0.5122129055778345,2743
2022,6,0,1.9921996879875195,641
2022,6,1,1.4074074074074074,1539
2022,6,2,0.5635854341736695,1785
2022,7,0,2.3762962962962964,675
2022,7,1,1.51796211626388,1531
2022,7,2,0.7744746283956945,1951
2023,0,0,0.5163490471414243,44865
2023,0,1,0.2742778119237861,32540
2023,0,2,0.1048028233849931,26068
2023,0,3,0.0,1
2023,1,0,0.9043018592781626,10972
2023,1,1,0.5403666292555181,13365
2023,1,2,0.241083321000444,13514
2023,2,0,1.1420148679825686,3901
2023,2,1,0.7146887674131547,5671
2023,2,2,0.3134223471539002,7115
2023,3,0,1.458119030124908,2722
2023,3,1,0.9520016767973172,4771
