id,year,RE24,PA,Available_Runs,RE24_efficiency
aardd001,2015,-0.09853350658993874,1,0.09853350658993874,-1.0
abadf001,2016,-0.16380845371856606,1,0.2709513108614232,-0.6045678583276725
abboc001,2021,-0.05917272295613693,3,0.594288264415131,-0.0995690584843902
abrac001,2022,-11.527968880409308,302,139.69819689748638,-0.0825205273685013
abrac001,2023,-9.41716048767231,614,317.1458170243849,-0.02969347215747209
abrac001,2024,2.844521744939823,602,306.3517931522763,0.009285148017808125
abrac001,2025,1.910059376895707,635,307.8512274400907,0.006204488423770906
abrej003,2015,37.64143396988704,668,306.48773088982705,0.12281546755755121
abrej003,2016,12.845794620863916,695,338.81589140678926,0.0379137901930373
abrej003,2017,31.454432338957393,675,317.1249845904792,0.09918623213991234
abrej003,2018,8.14917103341819,553,256.9422606445378,0.03171596222815217
abrej003,2019,20.376306952352,693,371.9566527322552,0.054781402087246536
abrej003,2020,24.426694726100592,262,133.62481952139456,0.18280058161043694
abrej003,2021,32.083602243977616,659,338.73032742475203,0.09471724155288368
abrej003,2022,14.839330871056193,679,318.5096213714053,0.046589898311902044
abrej003,2023,-2.6562847953745905,594,322.4116339142862,-0.008238799459949915
abrej003,2024,-17.44957830339661,120,59.82451150199321,-0.29167941142010384
abrew002,2023,4.872046437223258,85,45.10644278996867,0.10801220703457387
abrew002,2024,3.931537437490136,447,223.81410579600572,0.017566084244366245
abrew002,2025,5.014064401785586,417,209.6455459418893,0.023916865866424903
ackld001,2015,-8.205372691291124,264,117.23009614608607,-0.06999373847707174
ackld001,2016,-3.9684924031784323,70,28.954695950443934,-0.137058679875987
acosm002,2025,-0.8822054043749195,61,28.14198729097085,-0.031348369084722334
acunl001,2024,2.6488851919601357,40,17.677838718029108,0.14984214044551813
acunl001,2025,-16.315123546016274,193,89.43891476822017,-0.18241638539886929
acunr001,2018,25.40678846046944,487,226.25574927079495,0.11229234413867309
acunr001,2019,37.807196502196696,715,363.3151943262179,0.10406169929752485
acunr001,2020,12.675473379729581,202,111.4574715479629,0.1137247526225733
acunr001,2021,23.64405914111527,360,172.12381417987228,0.13736657680852243
acunr001,2022,13.13667789710155,533,242.75428389957509,0.05411512285622962
acunr001,2023,65.88557927262077,735,367.9310675588085,0.17907044303098954
acunr001,2024,1.1538608579973442,222,104.91660263761732,0.010997886216186276
acunr001,2025,21.33240205563461,412,191.16700713452337,0.11159039614311216
adama001,2015,-0.8951109196640104,1,0.8951109196640104,-1.0
adama002,2019,-0.4646169701133631,1,0.4646169701133631,-1.0
adama002,2020,-0.36168460006817527,1,0.9196450579245748,-0.39328716764314847
adamc001,2015,-0.6549871006347241,58,27.909745461506965,-0.023468042785917926
adamc001,2016,-12.387838131131193,256,123.837046081493,-0.10003337872722814
adamc001,2017,-2.9118363907804925,14,6.447702077660861,-0.4516083956281161
adamc001,2019,-0.07559091777947065,24,11.778027442798257,-0.0064179607448351765
adamj003,2023,-5.347162065953769,40,14.829199987592366,-0.36058331335660415
adamj003,2024,-1.0628888136009706,38,18.931049183116976,-0.056145267138647155
adamj003,2025,-1.171808448587636,5,1.6650794128666175,-0.7037552921096051
adaml001,2017,4.168324287290052,122,63.59282257825006,0.06554708720722356
adaml001,2018,0.4701199788278363,29,14.702024000800709,0.0319765481815451
adamm002,2015,-5.530440715456048,186,89.91185675858074,-0.061509581882016356
adamm002,2016,5.8535868937101405,327,169.5180421346932,0.03453076038395419
adamm002,2017,10.551068351253432,367,177.52032887291455,0.05943583148049969
adamm002,2018,7.516308131584987,337,174.76008534335293,0.04300929538239592
adamm002,2019,-0.6834838535983567,333,176.7282234062771,-0.00386742898460032
adamm002,2020,-1.751343055898576,51,29.088607508459,-0.060207180951830835
adamm002,2021,-5.352124607579069,40,23.822043028453344,-0.2246710998375087
adamr004,2021,-0.5039971841392373,120,58.69589944970242,-0.00858658251878603
adamr004,2022,-14.02881164771678,155,72.04676638693785,-0.1947181303373557
adamr004,2023,2.0892474887288452,158,74.02299386511056,0.028224304093076885
adamr004,2024,-8.062702201949538,130,65.54075309869201,-0.1230181500937078
adamr004,2025,-17.380604202719375,286,135.33410449749965,-0.128427378060055
adamw002,2018,-9.29026466138415,323,159.75420791250747,-0.058153489556107
adamw002,2019,-14.028506722416068,584,292.90283959675776,-0.047894744693254776
adamw002,2020,-1.685749377436715,205,102.79794425927278,-0.016398668179443226
adamw002,2021,16.265869388104807,555,277.1800318339629,0.05868340976975004
adamw002,2022,16.05048821133992,617,300.8303231081472,0.053353957292296764
adamw002,2023,-3.513902948746605,638,332.9214888954657,-0.010554749590976202
adamw002,2024,23.226342489821953,688,355.38640044604534,0.0653551808979482
adamw002,2025,8.734794881578951,686,334.7675994773988,0.026092115530937647
adduj002,2017,2.522790217841571,93,50.377460663747115,0.050077756691238595
adduj002,2018,-1.5842685229391444,185,92.06915748602603,-0.01720737504499919
adduj002,2019,-1.1342716372875197,5,1.6676395096165924,-0.680165965573879
adelj001,2020,-20.17046381665064,132,68.81551538701396,-0.2931092458323282
adelj001,2021,8.44422076813723,140,74.2142264984143,0.11378169882721412
adelj001,2022,-14.555637283458765,285,135.74560113722876,-0.10722732200172065
adelj001,2023,-0.22280467443388857,62,25.746280490088616,-0.008653858739698742
adelj001,2024,-2.4080197246069144,451,225.6283340537569,-0.010672505892071133
adelj001,2025,11.874675613381617,573,273.6982790128283,0.04338600760008815
adlet001,2016,-0.15469957383347616,23,10.103873032113317,-0.015310918233215303
adlet001,2017,-5.440093465190592,32,16.45380934879392,-0.3306282058986757
adonj001,2021,-0.8118520932087334,2,1.1377352943623023,-0.7135685226885525
adrie001,2015,-3.809930455415642,134,54.59805121276275,-0.06978143671408256
adrie001,2016,-3.991006714961365,71,31.50970215890154,-0.1266596140717217
adrie001,2017,0.13083789961766007,186,97.55994100173824,0.001341102693115906
adrie001,2018,-2.72633511831891,366,164.51276799298472,-0.016572179482355853
adrie001,2019,0.8277748261804899,236,121.72205275425192,0.006800532914538566
adrie001,2020,-11.77658464844111,101,49.70373028096567,-0.23693563001952433
adrie001,2021,5.289420832176919,209,113.74265848654063,0.04650340428611334
adrie001,2022,-7.9612081662893495,110,50.21119815715459,-0.15855443523517984
adrie001,2023,-2.0984366040241245,11,3.5735668777771736,-0.5872106709611635
adrie001,2024,-3.2370235114608077,28,14.388054599135378,-0.22497992964631439
affej001,2015,-0.6537739355975168,2,0.6537739355975168,-1.0
agrad001,2019,-4.183469101198236,24,14.862522190296247,-0.2814777362572839
aguij001,2015,0.7635314380839036,20,7.707595051668249,0.09906221499255376
aguij001,2016,-1.3776980868393398,6,1.5919838011250542,-0.8653970510665505
aguij001,2017,7.662496429368147,311,166.17241860162497,0.04611172235350264
aguij001,2018,22.411273344432463,562,289.5614192742161,0.07739730451869652
aguij001,2019,-2.7040825355871796,369,194.92614801638953,-0.013872343772780132
aguij001,2020,4.06942930672448,216,104.0757513912397,0.03910064786778963
aguij001,2021,19.041191606261645,510,262.68291113191106,0.07248736327845766
aguij001,2022,-10.390016171413633,507,239.00534572615862,-0.04347189867174786
aguij001,2023,-7.743465471623153,115,60.91538642289325,-0.1271183838162931
aguir002,2022,-2.7492203818680756,26,14.214081664956963,-0.19341526569711034
ahmen001,2015,-8.225906129942514,459,205.62750179356826,-0.040003919992183695
ahmen001,2016,-24.31509270317174,308,138.55643628321928,-0.17548872759306502
ahmen001,2017,-4.758939508854409,178,84.07459788978763,-0.05660377365221354
ahmen001,2018,-5.013163575218112,564,272.1996863725553,-0.018417227595026234
ahmen001,2019,-1.6095240104423987,625,340.48113823243534,-0.004727204622253199
ahmen001,2020,4.2758127984573235,217,109.87221195802907,0.038916234799119855
ahmen001,2021,-20.37166164340867,473,251.13889014643948,-0.08111711265240491
ahmen001,2022,-1.3981084336456004,54,24.95950493930916,-0.05601507069331712
ahmen001,2023,-13.05678350039045,210,96.00461828259293,-0.13600161881751724
ahmen001,2024,-15.331923756264214,228,116.30319307376449,-0.13182719537665702
ahmen001,2025,-2.5014480122703677,10,4.367988653113711,-0.5726773146462311
akink001,2021,-0.3916040059983885,2,0.4929461352067598,-0.7944154097772474
akiys001,2020,-4.946502211973936,183,90.75432006928614,-0.05450431679943767
akiys001,2021,-6.346294650047908,183,89.59451333211592,-0.07083351886206433
alanr001,2019,0.9042648529838848,1,0.3364236550077258,2.6878753604978187
alanr001,2021,-0.3079841027378573,1,0.5351155414589941,-0.5755469218818383
albea001,2017,0.6083578403747478,3,2.2542820425303463,0.2698676691279895
albeh001,2015,-9.073760765984536,104,48.466717762571236,-0.1872163246216729
albeh001,2016,-6.510521088968906,58,27.686655484405495,-0.2351501463452657
albeh001,2018,-2.766621122393886,30,10.869101824684787,-0.2545399948421332
albeh001,2019,-1.2065999924041613,550,266.331298317903,-0.00453044760426136
albeh001,2020,-4.934642147175903,231,121.12200045444803,-0.04074108856079982
albeh001,2021,-1.0055052190202736,255,123.83802336282639,-0.008119519285884414
albeh001,2022,-10.412291710255566,159,77.03725340802724,-0.13515917623785131
albeh001,2023,-3.4441120308506488,90,51.81482909096207,-0.06646962059460688
albem001,2016,0.636244397090161,1,0.5031565245688252,1.264505906259258
albio001,2017,1.990185973017257,244,122.62856327106209,0.01622938343180362
albio001,2018,7.500350368052437,684,329.2295250580482,0.02278152412585114
albio001,2019,22.7633723878469,702,340.3107576078089,0.06688995830710866
albio001,2020,2.9747524713363207,124,66.20065733391506,0.044935391748932595
albio001,2021,18.773759648910666,686,335.8327592850098,0.05590210939778516
albio001,2022,3.0864757878982005,269,120.35435244919353,0.025644903778624273
albio001,2023,17.465242338033192,660,347.9991411732732,0.050187601840479906
albio001,2024,4.114189688964152,435,212.0008208302592,0.01940647999782144
albio001,2025,-6.217722449264841,667,344.9439604816579,-0.018025311823354748
alcaa001,2015,-1.3707406455834126,32,13.685576333898343,-0.10015951189342104
alcaa001,2016,-2.7134367007592735,19,9.342633986581687,-0.29043594179718846
alcaa001,2017,-11.649956350132271,108,50.539234382893525,-0.23051311505572664
alcak001,2024,-1.8230970282133887,10,3.7632443707517793,-0.4844482177088039
alcak001,2025,0.15296677080659432,12,6.025038002024171,0.025388515517280327
alcas001,2018,-3.041409192615661,13,6.25543739470403,-0.4862024828496525
alcas001,2019,-7.730233910773079,63,27.187506440016502,-0.28433037534458006
alcas001,2021,-15.185849157486807,64,30.860706491053943,-0.49207717139881285
alcas002,2020,-1.7432950894321957,23,9.728813730211094,-0.1791888649300278
alcas002,2021,-9.403036837214673,255,116.57156755189611,-0.08066321003214241
alcas002,2022,-3.398742641502513,224,111.74297668904406,-0.03041571597793086
alcas002,2025,-1.2891447733315757,4,2.0316133664793377,-0.634542376321133
alexb001,2024,-2.4887207456140037,185,93.50259554901528,-0.02661659530413125
alexb001,2025,-2.3640772784312922,266,130.02625455524887,-0.018181537924917945
alexc001,2024,-1.685696323735178,8,2.9933280171746386,-0.5631512196669591
alexc001,2025,-3.747851097486383,17,10.299310026147692,-0.36389341499298594
alexs001,2017,-0.38337675110355174,3,0.49247513012797844,-0.7784692619989246
alexs001,2018,-1.1089366939924896,6,2.6527258995641225,-0.41803666717873206
alext001,2021,-0.7073342108768299,2,0.7073342108768299,-1.0
alext001,2025,-0.45863309352517984,1,0.45863309352517984,-1.0
alfaj002,2016,-3.103261025441929,17,5.969978335013628,-0.5198111033739363
alfaj002,2017,4.888714277074111,114,51.66052149320619,0.09463153169518469
alfaj002,2018,-1.0724108839323063,377,177.24746590857058,-0.006050359470219378
alfaj002,2019,-10.314619188857648,465,249.07092507590897,-0.04141237756158844
alfaj002,2020,-1.898804338876875,100,52.903309531968716,-0.03589197643163429
