id,year,GB_pct,FB_pct,LD_pct,HR_FB_pct,BIP
abboc001,2021,1.0,0.0,0.0,,2.0
abrac001,2022,0.5173913043478261,0.29130434782608694,0.19130434782608696,0.0,230.0
abrac001,2023,0.45774647887323944,0.32629107981220656,0.215962441314554,0.0,426.0
abrac001,2024,0.4256926952141058,0.3350125944584383,0.23929471032745592,0.0,397.0
abrac001,2025,0.4168564920273349,0.33940774487471526,0.2437357630979499,0.0,439.0
abrej003,2015,0.5045045045045045,0.28378378378378377,0.21171171171171171,0.0,444.0
abrej003,2016,0.483402489626556,0.3029045643153527,0.21369294605809128,0.0,482.0
abrej003,2017,0.4861995753715499,0.32696390658174096,0.18683651804670912,0.0,471.0
abrej003,2018,0.4666666666666667,0.312,0.22133333333333333,0.0,375.0
abrej003,2019,0.5044052863436124,0.27973568281938327,0.21585903083700442,0.0,454.0
abrej003,2020,0.5030674846625767,0.20245398773006135,0.294478527607362,0.0,163.0
abrej003,2021,0.5086848635235732,0.2655086848635236,0.22580645161290322,0.0,403.0
abrej003,2022,0.49064449064449067,0.25363825363825365,0.25571725571725573,0.0,481.0
abrej003,2023,0.46984924623115576,0.26884422110552764,0.2613065326633166,0.0,398.0
abrej003,2024,0.5357142857142857,0.27380952380952384,0.19047619047619047,0.0,84.0
abrew002,2023,0.43137254901960786,0.3137254901960784,0.2549019607843137,0.0,51.0
abrew002,2024,0.3584905660377358,0.4075471698113208,0.2339622641509434,0.0,265.0
abrew002,2025,0.33858267716535434,0.468503937007874,0.19291338582677164,0.008403361344537815,254.0
ackld001,2015,0.46236559139784944,0.3763440860215054,0.16129032258064516,0.0,186.0
ackld001,2016,0.4339622641509434,0.41509433962264153,0.1509433962264151,0.0,53.0
acosm002,2025,0.5294117647058824,0.3235294117647059,0.14705882352941177,0.0,34.0
acunl001,2024,0.4827586206896552,0.2413793103448276,0.27586206896551724,0.0,29.0
acunl001,2025,0.5481481481481482,0.2222222222222222,0.22962962962962963,0.0,135.0
acunr001,2018,0.4631578947368421,0.34035087719298246,0.19649122807017544,0.0,285.0
acunr001,2019,0.42857142857142855,0.31887755102040816,0.25255102040816324,0.0,392.0
acunr001,2020,0.4186046511627907,0.29069767441860467,0.29069767441860467,0.0,86.0
acunr001,2021,0.35751295336787564,0.34196891191709844,0.3005181347150259,0.0,193.0
acunr001,2022,0.49848024316109424,0.2796352583586626,0.22188449848024316,0.0,329.0
acunr001,2023,0.5297504798464492,0.2053742802303263,0.2648752399232246,0.0,521.0
acunr001,2024,0.5333333333333333,0.22962962962962963,0.23703703703703705,0.0,135.0
acunr001,2025,0.5092592592592593,0.2916666666666667,0.19907407407407407,0.0,216.0
adamc001,2015,0.575,0.25,0.175,0.0,40.0
adamc001,2016,0.6473988439306358,0.1791907514450867,0.17341040462427745,0.0,173.0
adamc001,2017,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,7.0
adamc001,2019,0.6428571428571429,0.07142857142857142,0.2857142857142857,0.0,14.0
adamj003,2023,0.5,0.2916666666666667,0.20833333333333334,0.0,24.0
adamj003,2024,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,21.0
adamj003,2025,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3.0
adaml001,2017,0.47761194029850745,0.29850746268656714,0.22388059701492538,0.0,67.0
adaml001,2018,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.0,14.0
adamm002,2015,0.4263565891472868,0.37209302325581395,0.20155038759689922,0.0,129.0
adamm002,2016,0.34673366834170855,0.4472361809045226,0.20603015075376885,0.0,199.0
adamm002,2017,0.42127659574468085,0.3829787234042553,0.19574468085106383,0.0,235.0
adamm002,2018,0.38207547169811323,0.4056603773584906,0.21226415094339623,0.0,212.0
adamm002,2019,0.3485714285714286,0.4,0.25142857142857145,0.0,175.0
adamm002,2020,0.41379310344827586,0.3793103448275862,0.20689655172413793,0.0,29.0
adamm002,2021,0.5185185185185185,0.37037037037037035,0.1111111111111111,0.0,27.0
adamr004,2021,0.47368421052631576,0.2631578947368421,0.2631578947368421,0.0,57.0
adamr004,2022,0.4673913043478261,0.33695652173913043,0.1956521739130435,0.0,92.0
adamr004,2023,0.3473684210526316,0.29473684210526313,0.35789473684210527,0.0,95.0
adamr004,2024,0.48148148148148145,0.2962962962962963,0.2222222222222222,0.0,81.0
adamr004,2025,0.5310344827586206,0.22758620689655173,0.2413793103448276,0.0,145.0
adamw002,2018,0.5401069518716578,0.27807486631016043,0.18181818181818182,0.0,187.0
adamw002,2019,0.5,0.26988636363636365,0.23011363636363635,0.0,352.0
adamw002,2020,0.4854368932038835,0.24271844660194175,0.27184466019417475,0.0,103.0
adamw002,2021,0.40063091482649843,0.3722397476340694,0.22712933753943218,0.0,317.0
adamw002,2022,0.37027027027027026,0.3891891891891892,0.24054054054054055,0.0,370.0
adamw002,2023,0.3864864864864865,0.37567567567567567,0.23783783783783785,0.0,370.0
