id,year,GB_pct,FB_pct,LD_pct,HR_FB_pct,BIP
aardd001,2015,0.3194444444444444,0.4583333333333333,0.2222222222222222,0.0,72.0
abadf001,2015,0.43548387096774194,0.4274193548387097,0.13709677419354838,0.0,124.0
abadf001,2016,0.464,0.368,0.168,0.0,125.0
abadf001,2017,0.46774193548387094,0.3387096774193548,0.1935483870967742,0.0,124.0
abadf001,2019,0.6571428571428571,0.2,0.14285714285714285,0.0,35.0
abadf001,2021,0.49206349206349204,0.25396825396825395,0.25396825396825395,0.0,63.0
abadf001,2023,0.4,0.32,0.28,0.0,25.0
abboa001,2023,0.30656934306569344,0.4306569343065693,0.26277372262773724,0.0,274.0
abboa001,2024,0.35732647814910024,0.42159383033419023,0.2210796915167095,0.006097560975609756,389.0
abboa001,2025,0.33116883116883117,0.42424242424242425,0.24458874458874458,0.0,462.0
abboc001,2021,0.4423076923076923,0.36538461538461536,0.19230769230769232,0.0,52.0
abboc001,2022,0.3125,0.5078125,0.1796875,0.0,128.0
abboc001,2023,0.42342342342342343,0.2702702702702703,0.3063063063063063,0.0,111.0
abelm001,2025,0.4,0.33636363636363636,0.2636363636363636,0.0,110.0
abnep001,2025,0.3,0.6,0.1,0.0,10.0
abrea001,2020,0.4,0.2,0.4,0.0,5.0
abrea001,2021,0.4945054945054945,0.26373626373626374,0.24175824175824176,0.0,91.0
abrea001,2022,0.5533980582524272,0.18446601941747573,0.2621359223300971,0.0,103.0
abrea001,2023,0.48717948717948717,0.3141025641025641,0.1987179487179487,0.0,156.0
abreb002,2019,0.5,0.25,0.25,0.0,16.0
abreb002,2020,0.375,0.375,0.25,0.0,8.0
abreb002,2021,0.5,0.3,0.2,0.0,100.0
abreb002,2022,0.484375,0.28125,0.234375,0.0,128.0
abreb002,2023,0.3931034482758621,0.33793103448275863,0.2689655172413793,0.0,145.0
abreb002,2024,0.41954022988505746,0.3160919540229885,0.26436781609195403,0.0,174.0
abreb002,2025,0.36423841059602646,0.31788079470198677,0.31788079470198677,0.0,151.0
acevd001,2021,0.4642857142857143,0.35714285714285715,0.17857142857142858,0.0,28.0
acevd001,2022,0.42857142857142855,0.3314285714285714,0.24,0.0,175.0
acevd001,2023,0.2571428571428571,0.3142857142857143,0.42857142857142855,0.0,35.0
achta001,2015,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.0,33.0
achta001,2016,0.48,0.328,0.192,0.0,125.0
actog001,2023,0.3888888888888889,0.3888888888888889,0.2222222222222222,0.0,18.0
actog001,2025,0.0,1.0,0.0,0.0,3.0
adama001,2015,0.48148148148148145,0.35185185185185186,0.16666666666666666,0.0,108.0
adama001,2016,0.4406779661016949,0.2542372881355932,0.3050847457627119,0.0,59.0
adama001,2019,0.4489795918367347,0.3469387755102041,0.20408163265306123,0.0,49.0
adama002,2017,0.4,0.3,0.3,0.0,10.0
adama002,2018,0.5,0.25,0.25,0.0,4.0
